ukpcCode,PCON11CD,PCON11NM,population
1,S14000001,Aberdeen North,100432
2,S14000002,Aberdeen South,96414
3,S14000003,Airdrie and Shotts,87530
4,S14000004,Angus,86316
5,S14000005,Argyll and Bute,88050
6,S14000006,"Ayr, Carrick and Cumnock",92829
7,S14000007,Banff and Buchan,91662
8,S14000008,"Berwickshire, Roxburgh and Selkirk",94678
9,S14000009,"Caithness, Sutherland and Easter Ross",61639
10,S14000010,Central Ayrshire,88560
11,S14000011,"Coatbridge, Chryston and Bellshill",96443
12,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",85817
13,S14000013,Dumfries and Galloway,95416
14,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",86708
15,S14000015,Dundee East,90113
16,S14000016,Dundee West,87981
17,S14000017,Dunfermline and West Fife,99237
18,S14000018,East Dunbartonshire,82084
19,S14000019,"East Kilbride, Strathaven and Lesmahagow",99182
20,S14000020,East Lothian,101360
21,S14000021,East Renfrewshire,91500
22,S14000022,Edinburgh East,96130
23,S14000023,Edinburgh North and Leith,109816
24,S14000024,Edinburgh South,88079
25,S14000025,Edinburgh South West,100111
26,S14000026,Edinburgh West,93364
27,S14000027,Falkirk,111283
28,S14000028,Glasgow Central,90667
29,S14000029,Glasgow East,88575
30,S14000030,Glasgow North,71927
31,S14000031,Glasgow North East,85028
32,S14000032,Glasgow North West,86937
33,S14000033,Glasgow South,88359
34,S14000034,Glasgow South West,85057
35,S14000035,Glenrothes,89179
36,S14000036,Gordon,101680
37,S14000037,Inverclyde,80310
38,S14000038,"Inverness, Nairn, Badenoch and Strathspey",102854
39,S14000039,Kilmarnock and Loudoun,96416
40,S14000040,Kirkcaldy and Cowdenbeath,97349
41,S14000041,Lanark and Hamilton East,98057
42,S14000042,Linlithgow and East Falkirk,113445
43,S14000043,Livingston,108552
44,S14000044,Midlothian,84700
45,S14000045,Moray,94350
46,S14000046,Motherwell and Wishaw,91716
47,S14000047,Na h-Eileanan an Iar,27400
48,S14000048,North Ayrshire and Arran,94405
49,S14000049,North East Fife,81145
50,S14000050,Ochil and South Perthshire,100750
51,S14000051,Orkney and Shetland,44770
52,S14000052,Paisley and Renfrewshire North,88671
53,S14000053,Paisley and Renfrewshire South,85229
54,S14000054,Perth and North Perthshire,98280
55,S14000055,"Ross, Skye and Lochaber",68457
56,S14000056,Rutherglen and Hamilton West,104949
57,S14000057,Stirling,91260
58,S14000058,West Aberdeenshire and Kincardine,94682
59,S14000059,West Dunbartonshire,89810
